key,value
function_line_range,1-8
minimum_function_lines_inclusive,1
maximum_function_lines_inclusive,8
analysis_design_status,post_hoc_exploratory_heterogeneity
research_question,Cursor adoption effect on function-change events spanning 1-8 source lines
sample_type,ratio
ncloc_specification,python_snapshot
time_mode,calendar_month
parse_exclusion_mode,parse_clean
panel_label,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean
panel_path,repo_python/run-py-5g2/strict/function_lines_1_8/panel_event_monthly_agc_commit_function_lines_1_8_ratio_positive_parse_clean.csv
panel_sha256,571bac13f8c4537a32591bfc1b3f0cdd694c59a5918dcf1071bb35652d317f0e
rmd_file,proc_r/DiffInDiffBorusyak_agc_commit_function.Rmd
rmd_sha256,66e229c48a6f4e97d1a8c0cc8b06182fba455714288a6e9a09ab1d195139fe7b
helper_file,proc_r/diff_in_diff_borusyak_helpers.R
helper_sha256,c59c26e7ff1ca08e600030674886446b044dcc383adf4798abe6e7a7f13507ff
shell_script_sha256,bc4d69051df5a5ab496a53d11fc6d1179a88fb176f5bafdf21b181598fa611a7
