repo_name,source_group,analysis_rows,sum_abs_diff_bugs,median_abs_diff_bugs,max_abs_diff_bugs,sum_diff_bugs,sum_abs_diff_vulnerabilities,median_abs_diff_vulnerabilities,max_abs_diff_vulnerabilities,sum_diff_vulnerabilities,sum_abs_diff_code_smells,median_abs_diff_code_smells,max_abs_diff_code_smells,sum_diff_code_smells,sum_abs_diff_technical_debt,median_abs_diff_technical_debt,max_abs_diff_technical_debt,sum_diff_technical_debt,sum_abs_diff_static_analysis_warnings,median_abs_diff_static_analysis_warnings,max_abs_diff_static_analysis_warnings,sum_diff_static_analysis_warnings
jacebrowning/datafiles,control,12,4049.0,338.0,338.0,-4049.0,0.0,0.0,0.0,0.0,2611.0,218.0,219.0,-2611.0,13115.0,1095.0,1100.0,-13115.0,6660.0,556.0,557.0,-6660.0
zhipeixu/FakeShield,control,5,0.0,0.0,0.0,0.0,95.0,19.0,19.0,95.0,3395.0,679.0,679.0,3395.0,16945.0,3389.0,3389.0,16945.0,3490.0,698.0,698.0,3490.0
PennyLaneAI/catalyst,control,7,259.0,36.0,41.0,-259.0,0.0,0.0,0.0,0.0,2371.0,327.0,374.0,-2371.0,11268.0,1548.0,1848.0,-11268.0,2630.0,363.0,415.0,-2630.0
ysj9909/SHViT,control,3,0.0,0.0,0.0,0.0,30.0,10.0,10.0,30.0,2157.0,719.0,719.0,2157.0,10740.0,3580.0,3580.0,10740.0,2187.0,729.0,729.0,2187.0
aio-libs/aiohttp,control,9,62.0,7.0,13.0,-62.0,27.0,3.0,3.0,27.0,2092.0,240.0,246.0,-2092.0,13197.0,1476.0,1510.0,-13197.0,2127.0,244.0,249.0,-2127.0
Anemll/Anemll,treatment,5,13.0,2.0,5.0,-13.0,1.0,0.0,1.0,1.0,1764.0,38.0,837.0,-1764.0,6008.0,305.0,2702.0,-6008.0,1776.0,40.0,841.0,-1776.0
dymmond/edgy,control,17,205.0,8.0,23.0,-205.0,71.0,4.0,7.0,71.0,1759.0,119.0,163.0,859.0,7609.0,583.0,723.0,3979.0,1721.0,113.0,179.0,725.0
Chocksy/qc-options-framework,treatment,10,16.0,0.0,4.0,-16.0,0.0,0.0,0.0,0.0,1202.0,25.5,265.0,-908.0,4271.0,129.0,891.0,-2789.0,1218.0,25.5,269.0,-924.0
trycua/cua,treatment,5,209.0,49.0,55.0,209.0,51.0,10.0,14.0,51.0,839.0,159.0,226.0,839.0,4023.0,744.0,1043.0,4023.0,1099.0,228.0,286.0,1099.0
HelpingAI/Webscout,control,9,29.0,3.0,10.0,29.0,12.0,1.0,5.0,12.0,1054.0,118.0,288.0,1054.0,5144.0,580.0,1387.0,5144.0,1095.0,123.0,299.0,1095.0
keephq/keep,treatment,3,6.0,2.0,3.0,-6.0,10.0,3.0,4.0,10.0,928.0,292.0,355.0,928.0,5932.0,1907.0,2183.0,5932.0,932.0,294.0,356.0,932.0
namuan/trading-utils,treatment,13,0.0,0.0,0.0,0.0,15.0,0.0,5.0,15.0,870.0,51.0,170.0,870.0,4220.0,245.0,830.0,4220.0,885.0,51.0,175.0,885.0
tmux-python/tmuxp,treatment,20,340.0,17.0,17.0,-340.0,0.0,0.0,0.0,0.0,387.0,16.0,29.0,-387.0,3751.0,166.0,237.0,-3751.0,727.0,33.0,46.0,-727.0
osomai/servicenow-mcp,treatment,5,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,698.0,140.0,151.0,698.0,3340.0,670.0,725.0,3340.0,709.0,151.0,151.0,709.0
panther-labs/panther-analysis,treatment,19,0.0,0.0,0.0,0.0,19.0,1.0,1.0,19.0,680.0,29.0,51.0,680.0,617.0,38.0,46.0,-617.0,699.0,30.0,52.0,699.0
leettools-dev/leettools,treatment,5,22.0,3.0,7.0,-22.0,16.0,4.0,4.0,16.0,647.0,206.0,209.0,647.0,2684.0,866.0,892.0,2684.0,641.0,207.0,211.0,641.0
pieces-app/cli-agent,control,19,5.0,0.0,3.0,5.0,4.0,0.0,1.0,4.0,383.0,11.0,55.0,-77.0,1547.0,68.0,196.0,-945.0,390.0,11.0,59.0,-68.0
Jieqianyu/SGN,control,2,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,382.0,191.0,191.0,382.0,1920.0,960.0,960.0,1920.0,386.0,193.0,193.0,386.0
DakeQQ/YOLO-Depth-Estimation-for-Android,control,14,51.0,5.0,5.0,51.0,42.0,4.0,4.0,42.0,469.0,34.0,39.0,-469.0,1379.0,102.0,161.0,1223.0,376.0,25.0,39.0,-376.0
kuleshov-group/caduceus,control,10,0.0,0.0,0.0,0.0,34.0,4.0,4.0,34.0,300.0,32.0,32.0,300.0,1460.0,156.0,156.0,1460.0,334.0,36.0,36.0,334.0
synaptiai/prompt-decorators,treatment,7,3.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,280.0,48.0,48.0,280.0,1088.0,170.0,170.0,872.0,283.0,48.0,48.0,277.0
OSU-NLP-Group/HippoRAG,control,10,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,273.0,24.0,39.0,273.0,1316.0,105.0,210.0,1316.0,277.0,24.0,41.0,277.0
stakewise/v3-operator,control,19,97.0,5.0,7.0,97.0,19.0,1.0,1.0,-19.0,198.0,10.0,12.0,198.0,793.0,42.0,42.0,793.0,276.0,15.0,16.0,276.0
FolhaSP/mosaico,control,7,218.0,22.0,47.0,-218.0,0.0,0.0,0.0,0.0,38.0,5.0,6.0,-38.0,280.0,25.0,60.0,-280.0,256.0,28.0,52.0,-256.0
Kiln-AI/Kiln,treatment,11,255.0,4.0,75.0,-243.0,0.0,0.0,0.0,0.0,203.0,20.0,35.0,153.0,1405.0,142.0,234.0,1275.0,250.0,22.0,40.0,-90.0
appl-team/appl,treatment,9,18.0,2.0,2.0,-18.0,0.0,0.0,0.0,0.0,233.0,33.0,34.0,-165.0,1113.0,139.0,143.0,-577.0,241.0,35.0,36.0,-183.0
bropines/chrome-lens-py,control,10,24.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,203.0,14.0,59.0,203.0,1015.0,70.0,295.0,1015.0,227.0,14.0,67.0,227.0
zju3dv/ready_to_react,control,2,10.0,5.0,5.0,10.0,2.0,1.0,1.0,2.0,212.0,106.0,106.0,212.0,1084.0,542.0,542.0,1084.0,224.0,112.0,112.0,224.0
sirkirby/unifi-network-rules,treatment,9,42.0,2.0,11.0,42.0,4.0,0.0,1.0,-4.0,175.0,12.0,39.0,175.0,995.0,60.0,230.0,995.0,213.0,14.0,48.0,213.0
baaivision/EVE,control,5,12.0,0.0,6.0,-12.0,37.0,7.0,8.0,37.0,187.0,27.0,53.0,187.0,901.0,127.0,260.0,901.0,212.0,34.0,55.0,212.0
