dataset_source,repo_name,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate,treatment_group,active_treatment,first_month,last_month,event_month,parse_exclusion_record_share,parse_exclusion_rank
control,daxa-ai/pebblo,494,452,887,887,701,1588,2,1,1,2,13,1,1541,2,0.07692307692307693,0.004424778761061947,0.0011273957158962795,0.0014265335235378032,0.0012594458438287153,0.0012978585334198572,0,0,2024-01,2025-06,,0.001670843776106934,36
treatment,gerred/mcp-server-replicate,26,23,47,47,13,60,2,2,0,1,2,1,57,2,0.5,0.043478260869565216,0.0425531914893617,0.0,0.03333333333333333,0.03508771929824561,1,1,2025-01,2025-02,2025-01,0.001670843776106934,36
treatment,instructor-ai/instructor,889,870,1731,1731,1408,3139,2,1,1,2,20,1,3018,2,0.05,0.0022988505747126436,0.0005777007510109763,0.0007102272727272727,0.0006371455877668047,0.0006626905235255136,1,1,2024-01,2025-08,2025-03,0.001670843776106934,36
treatment,leettools-dev/leettools,137,131,1460,1460,833,2293,2,1,1,2,5,1,2195,2,0.2,0.015267175572519083,0.0006849315068493151,0.0012004801920768306,0.0008722197993894462,0.0009111617312072893,1,1,2024-12,2025-04,2025-03,0.001670843776106934,36
treatment,loftwah/auto-jira,34,34,47,47,40,87,2,1,1,2,1,1,65,1,1.0,0.058823529411764705,0.02127659574468085,0.025,0.022988505747126436,0.015384615384615385,1,1,2025-02,2025-02,2025-02,0.001670843776106934,36
treatment,namuan/trading-utils,512,512,652,652,565,1217,2,2,0,2,14,1,979,2,0.07142857142857142,0.00390625,0.003067484662576687,0.0,0.0016433853738701725,0.0020429009193054137,1,1,2024-02,2025-03,2024-11,0.001670843776106934,36
treatment,panther-labs/panther-analysis,592,520,1331,1331,1057,2388,2,1,1,2,20,1,2370,2,0.05,0.0038461538461538464,0.0007513148009015778,0.000946073793755913,0.0008375209380234506,0.0008438818565400844,1,1,2024-01,2025-08,2025-03,0.001670843776106934,36
control,plurai-ai/intellagent,291,209,437,437,351,788,2,1,1,2,6,1,680,2,0.16666666666666666,0.009569377990430622,0.002288329519450801,0.002849002849002849,0.0025380710659898475,0.0029411764705882353,0,0,2024-10,2025-04,,0.001670843776106934,36
control,thegreenwebfoundation/admin-portal,373,350,436,436,369,805,2,1,1,2,20,1,717,1,0.05,0.005714285714285714,0.0022935779816513763,0.0027100271002710027,0.002484472049689441,0.001394700139470014,0,0,2024-01,2025-08,,0.001670843776106934,36
control,zhou19830318/xiaozhi_micropython,118,118,34,34,13,47,2,1,1,2,3,1,43,2,0.3333333333333333,0.01694915254237288,0.029411764705882353,0.07692307692307693,0.0425531914893617,0.046511627906976744,0,0,2025-02,2025-04,,0.001670843776106934,36
control,Drchip61/Dual_SAM,34,34,28,28,0,28,1,1,0,1,3,1,28,1,0.3333333333333333,0.029411764705882353,0.03571428571428571,,0.03571428571428571,0.03571428571428571,0,0,2024-03,2024-12,,0.000835421888053467,49
treatment,The-Pocket/PocketFlow,632,600,426,426,200,626,1,1,0,1,9,1,564,1,0.1111111111111111,0.0016666666666666668,0.002347417840375587,0.0,0.001597444089456869,0.0017730496453900709,1,1,2024-12,2025-08,2025-02,0.000835421888053467,49
control,qiboteam/qibojit,366,288,239,239,237,476,1,1,0,1,18,1,367,1,0.05555555555555555,0.003472222222222222,0.0041841004184100415,0.0,0.0021008403361344537,0.0027247956403269754,0,0,2024-01,2025-08,,0.000835421888053467,49
treatment,yagami1997/TradeMind,275,269,142,142,94,236,1,1,0,1,6,1,212,1,0.16666666666666666,0.0037174721189591076,0.007042253521126761,0.0,0.00423728813559322,0.0047169811320754715,1,1,2025-02,2025-07,2025-03,0.000835421888053467,49
treatment,1mrat/cursor-taskrunner,4,4,1,1,0,1,0,0,0,0,1,0,1,0,0.0,0.0,0.0,,0.0,0.0,1,1,2024-08,2024-08,2024-08,0.0,53
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,,,,0,0,2025-03,2025-03,,0.0,53
control,AkariAsai/ScholarQABench,17,16,8,8,0,8,0,0,0,0,5,0,8,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-11,2025-08,,0.0,53
treatment,Apocrathia/home-assistant-config,167,146,1,1,1,2,0,0,0,0,17,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-02,0.0,53
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,68,60,103,103,75,178,0,0,0,0,4,0,153,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-08,2025-03,0.0,53
control,Benzauber/convert-commander,42,40,16,16,10,26,0,0,0,0,8,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-11,2025-08,,0.0,53
control,BiancoChiu/iOSRealRun-cli-18,29,29,27,27,18,45,0,0,0,0,6,0,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-02,2025-06,,0.0,53
control,C4NU/Paddie,48,42,96,96,69,165,0,0,0,0,5,0,144,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-03,,0.0,53
control,DakeQQ/YOLO-Depth-Estimation-for-Android,610,610,239,239,102,341,0,0,0,0,14,0,331,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-05,2025-08,,0.0,53
treatment,DannyMac180/mirror,15,15,63,63,21,84,0,0,0,0,1,0,74,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-12,2024-12,2024-12,0.0,53
treatment,DataScienceUIBK/Rankify,308,251,796,796,450,1246,0,0,0,0,7,0,1171,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-08,2025-03,0.0,53
control,EURAC-EEBgroup/brick-llm,120,106,260,260,219,479,0,0,0,0,7,0,431,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-09,2025-05,,0.0,53
treatment,Elevate-Code/better-voice-typing,37,37,85,85,65,150,0,0,0,0,9,0,128,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-10,2025-08,2024-10,0.0,53
control,Envious-Data/Env-KB,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,,,,0,0,2024-04,2024-04,,0.0,53
control,Event-AHU/OpenEvDET,169,169,174,174,1,175,0,0,0,0,13,0,175,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-06,2025-08,,0.0,53
control,FFY0/AdaKV,21,20,43,43,27,70,0,0,0,0,7,0,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-06,2025-06,,0.0,53
control,FMInference/FlexiGen,6,6,31,31,30,61,0,0,0,0,3,0,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-04,2024-10,,0.0,53
control,FaceAdapter/Face-Adapter,24,22,14,14,4,18,0,0,0,0,1,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-05,2024-05,,0.0,53
control,FlipperPA/peregrine,2,1,1,1,1,2,0,0,0,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-12,2024-12,,0.0,53
control,FolhaSP/mosaico,101,96,284,284,153,437,0,0,0,0,7,0,424,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-11,2025-07,,0.0,53
control,GispoCoding/qgis-venv-creator,22,22,14,14,4,18,0,0,0,0,2,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-02,2024-03,,0.0,53
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,96,76,28,28,23,51,0,0,0,0,4,0,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-09,2025-03,,0.0,53
control,IBM/mt-rag-benchmark,7,7,1,1,0,1,0,0,0,0,3,0,1,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-12,2025-04,,0.0,53
control,Jieqianyu/SGN,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,,,,,0,0,2024-01,2024-09,,0.0,53
control,JustinSparrrow/IOOI-EmotionEgg,43,42,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,,,,,0,0,2025-03,2025-04,,0.0,53
treatment,KroMiose/nekro-agent,604,583,1331,1331,1060,2391,0,0,0,0,14,0,2267,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-07,2025-08,2025-01,0.0,53
control,LGro/PyAPSI,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,,,,0,0,2024-04,2024-04,,0.0,53
control,LuneMods/KCD2-Blender-Toolkit,36,33,52,52,32,84,0,0,0,0,2,0,77,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025-02,2025-03,,0.0,53
treatment,MDGrey33/pyvisionai,147,144,375,375,277,652,0,0,0,0,6,0,576,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-11,2025-07,2025-01,0.0,53
control,Makopolo/megascan_houdini20.0_USD_plugin,31,31,56,56,9,65,0,0,0,0,3,0,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-04,2024-07,,0.0,53
treatment,Mineru98/mysql-mcp-server,62,60,62,62,35,97,0,0,0,0,1,0,87,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-03,2025-03,0.0,53
control,MingSun-Tse/LightAvatar-TensorFlow,12,11,5,5,0,5,0,0,0,0,3,0,5,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-09,2024-11,,0.0,53
control,MrTimonM/Arichain-Bot,10,10,2,2,1,3,0,0,0,0,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025-01,2025-01,,0.0,53
control,NVIDIA/cuEquivariance,101,99,735,735,576,1311,0,0,0,0,10,0,1234,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-11,2025-08,,0.0,53
control,NiceRingNode/LGGPT,16,16,17,17,3,20,0,0,0,0,5,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025-01,2025-08,,0.0,53
control,OSU-NLP-Group/HippoRAG,139,93,245,245,149,394,0,0,0,0,11,0,360,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-05,2025-08,,0.0,53
treatment,Ody-Z/Trading_Game_Simulator,4,4,11,11,3,14,0,0,0,0,1,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-02,2025-02,0.0,53
treatment,OpenSPP/openspp-modules,1866,1522,3079,3079,2437,5516,0,0,0,0,20,0,5167,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-03,0.0,53
control,PennyLaneAI/catalyst,1189,1189,2510,2510,2362,4872,0,0,0,0,20,0,4730,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-08,,0.0,53
control,PhilNad/robot-arm-kinematic-calibration,12,12,25,25,16,41,0,0,0,0,4,0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-07,2025-03,,0.0,53
treatment,PiotrCzapla/smart_dictation,6,6,24,24,14,38,0,0,0,0,1,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-10,2024-10,2024-10,0.0,53
control,PiotrMachowski/Home-Assistant-custom-components-TGE,18,18,31,31,24,55,0,0,0,0,7,0,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-08,2025-08,,0.0,53
control,PromtEngineer/localGPT,89,64,106,106,57,163,0,0,0,0,10,0,154,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-07,,0.0,53
control,R0uter/ss.conf-for-surge,5,4,2,2,2,4,0,0,0,0,1,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-07,2024-07,,0.0,53
treatment,ResearchHub/researchhub-backend,3947,2928,4937,4937,4339,9276,0,0,0,0,20,0,8185,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-03,0.0,53
control,Retmon403/cs2_cheats_for_python,61,61,61,61,5,66,0,0,0,0,4,0,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-02,2025-03,,0.0,53
control,RobinWu218/ToST,5,5,38,38,0,38,0,0,0,0,3,0,38,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-12,2025-02,,0.0,53
control,SEU-ProactiveSecurity-Group/LLM-PD,4,4,15,15,0,15,0,0,0,0,3,0,15,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-12,2025-04,,0.0,53
treatment,Scrapybara/codecapy,35,35,73,73,56,129,0,0,0,0,2,0,103,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-01,2025-02,2025-01,0.0,53
treatment,SlyyCooper/cursorrules-architect,13,13,121,121,60,181,0,0,0,0,6,0,164,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-11,2025-04,2024-12,0.0,53
treatment,The-Pocket/PocketFlow-Template-Python,46,43,13,13,8,21,0,0,0,0,7,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-08,2025-02,0.0,53
treatment,The-Pocket/Tutorial-AI-Paul-Graham,24,23,23,23,10,33,0,0,0,0,2,0,29,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-03,2025-03,0.0,53
treatment,The-Pocket/Tutorial-Cold-Email-Personalization,8,8,10,10,2,12,0,0,0,0,1,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-03,2025-03,0.0,53
treatment,The-Pocket/Tutorial-Cursor,24,24,17,17,5,22,0,0,0,0,1,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-03,2025-03,0.0,53
control,The-WhiteRabbit/dnfm_server,18,18,18,18,12,30,0,0,0,0,1,0,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-08,2024-08,,0.0,53
control,TheFocusedCoder/api-agent,41,27,4,4,2,6,0,0,0,0,1,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-08,2024-08,,0.0,53
treatment,TheSethRose/Agent-Chat,8,7,8,8,3,11,0,0,0,0,1,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-10,2024-10,2024-10,0.0,53
control,TianxingChen/RoboTwin,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,,,,0,0,2025-06,2025-06,,0.0,53
treatment,ToolUse/infinite-ai-seo,7,7,19,19,12,31,0,0,0,0,1,0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-02,2025-02,0.0,53
treatment,ToolUse/tool-use-ai,75,51,76,76,50,126,0,0,0,0,5,0,113,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-09,2025-04,2024-12,0.0,53
treatment,VRSEN/agency-swarm-memory-demo,12,12,30,30,19,49,0,0,0,0,1,0,47,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-02,2025-02,0.0,53
treatment,VRSEN/agency-voice-interface,57,57,193,193,119,312,0,0,0,0,3,0,277,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-10,2025-01,2024-10,0.0,53
control,VirtualFlow/VFVS,4,4,1,1,0,1,0,0,0,0,2,0,1,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-01,2025-08,,0.0,53
treatment,W1ndys/Blog,801,765,24,24,18,42,0,0,0,0,16,0,38,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-03,2025-06,2025-01,0.0,53
control,Wang-ML-Lab/unified-continual-learning,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,,,,0,0,2025-01,2025-01,,0.0,53
treatment,WangQrkkk/ThinkingCursor,5,5,3,3,2,5,0,0,0,0,2,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-01,2025-02,2025-01,0.0,53
control,aio-libs/aiohttp,2904,2801,3539,3539,3450,6989,0,0,0,0,20,0,6697,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-08,,0.0,53
control,ali-bahrainian/RAG_best_practices,25,25,40,40,30,70,0,0,0,0,3,0,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-12,2025-03,,0.0,53
treatment,askjohngeorge/pipecat-lead-qualifier,396,395,454,454,421,875,0,0,0,0,2,0,688,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-01,2025-02,2025-01,0.0,53
