repo_name,time,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,issue_comments,age,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,dataset_source,other_agents,high_confidence
1mrat/cursor-taskrunner,2024-08,1,2024-08,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,4,264,8,1,9.0,0.0,0.0,0.0,118.0,1.0,0.0,0.0,0.0,9.9,28.0,0.0,,,,treatment,False,True
Anemll/Anemll,2025-02,1,2025-02,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,8,2742,701,2,212.0,3.0,3.0,0.0,3990.0,4.0,0.0,72.0,22.3,24.8,1013.0,427.0,,,,treatment,True,True
Anemll/Anemll,2025-04,1,2025-02,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,5,23138,423,2,23.0,5.0,10.0,51.0,4093.0,4.0,0.0,71.0,20.1,25.2,1064.0,425.0,,,,treatment,True,False
Anemll/Anemll,2025-05,1,2025-02,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,1,2,2,1,551.0,2.0,4.0,81.0,4093.0,4.0,0.0,71.0,20.1,25.2,1064.0,425.0,,,,treatment,True,False
Anemll/Anemll,2025-06,1,2025-02,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,65,91287,9154,3,74.0,3.0,3.0,112.0,18458.0,8.0,0.0,176.0,16.9,19.1,4188.0,1490.0,,,,treatment,True,False
Anemll/Anemll,2025-07,1,2025-02,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,1,5389,567,1,35.0,2.0,9.0,142.0,21444.0,9.0,1.0,233.0,23.4,19.4,5144.0,2097.0,,,,treatment,True,False
Apocrathia/home-assistant-config,2024-01,0,2025-02,0,-13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,5,32,22,1,3.0,0.0,0.0,2070.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
Apocrathia/home-assistant-config,2024-02,0,2025-02,0,-12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,4.0,0.0,0.0,2101.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
Apocrathia/home-assistant-config,2024-03,0,2025-02,0,-11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,3,14,147,1,2.0,0.0,0.0,2130.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
Apocrathia/home-assistant-config,2024-04,0,2025-02,0,-10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,6,108,40,1,6.0,0.0,2.0,2161.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
Apocrathia/home-assistant-config,2024-05,0,2025-02,0,-9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,17,120,46,4,5.0,2.0,2.0,2191.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
Apocrathia/home-assistant-config,2024-06,0,2025-02,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,1,5,5,1,2.0,0.0,0.0,2222.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
Apocrathia/home-assistant-config,2024-07,0,2025-02,0,-7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,17,500,61,3,0.0,0.0,0.0,2252.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
Apocrathia/home-assistant-config,2024-10,0,2025-02,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,1,5,5,1,0.0,0.0,1.0,2344.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
Apocrathia/home-assistant-config,2024-11,0,2025-02,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,46,315,450,3,0.0,6.0,0.0,2375.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
Apocrathia/home-assistant-config,2024-12,0,2025-02,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,2,26,8,1,1.0,0.0,0.0,2405.0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,
